File Name	Game Title	Game ID	Bytes	Amount	Size	Checksum	MD5	Zip	Started	Finished	Taken
setup_e.y.e_divine_cybermancy_e.y.edc_gog_1.01_(51327)-1.bin	E.Y.E: Divine Cybermancy - Single-Player Edition	1114411610	3396697899	3.16 Gb	pass	ec07c48742e2d749c4c7ec7b3a0190b6	pass	na	2021-11-11 04:41:17	2021-11-11 04:45:20	00:04:03
setup_bright_memory_infinite_1.03_(51419)-1.bin	Bright Memory: Infinite	1787213019	4294065150	4 Gb	pass	f302fc4de8b6896de2d0933f4edd5cc9	pass	na	2021-11-13 07:21:57	2021-11-13 07:26:40	00:04:43
setup_bright_memory_infinite_1.03_(51419)-2.bin	Bright Memory: Infinite	1787213019	4294967294	4 Gb	pass	f9d4debde0ecd37498e3dfe12940b9b6	pass	na	2021-11-13 07:26:40	2021-11-13 07:30:42	00:04:02
setup_bright_memory_infinite_1.03_(51419)-3.bin	Bright Memory: Infinite	1787213019	4126126348	3.84 Gb	pass	00d9ee71d63168f6fc14fb6eeb2e9c1b	pass	na	2021-11-13 07:30:42	2021-11-13 07:34:46	00:04:04
setup_bright_memory_infinite_1.03_(51419).exe	Bright Memory: Infinite	1787213019	908464	887 Kb	pass	ef2d5ed7d184268832632a744c3e22c0	pass	na	2021-11-13 08:40:23	2021-11-13 08:40:31	00:00:08
setup_we_happy_few_88966_(64bit)_(34773)-1.bin	We Happy Few	1617830436	4294005246	4 Gb	pass	283776e8db7543791bc0858a0931951b	pass	na	2021-11-14 22:00:13	2021-11-14 22:04:37	00:04:24
setup_we_happy_few_88966_(64bit)_(34773)-2.bin	We Happy Few	1617830436	4294967294	4 Gb	pass	d3cc60ce81d6ef8dce534032ac17e1fd	pass	na	2021-11-14 22:04:37	2021-11-14 22:08:43	00:04:06
setup_we_happy_few_88966_(64bit)_(34773)-3.bin	We Happy Few	1617830436	3225678412	3 Gb	pass	86caeb988f3693573701c01d1e796bf7	pass	na	2021-11-14 22:08:43	2021-11-14 22:11:47	00:03:04
setup_we_happy_few_88966_(64bit)_(34773).exe	We Happy Few	1617830436	969024	946 Kb	pass	1fce071c39a9eda524f4e39c84500fdf	pass	na	2021-11-14 22:11:47	2021-11-14 22:11:48	00:00:01
patch_we_happy_few_72378_(24713)_to_76676_(26968).exe	We Happy Few	1617830436	604536784	577 Mb	pass	654d5fa37b2f0ad964e8c1322fbfafa5	pass	na	2021-11-14 22:11:48	2021-11-14 22:12:49	00:01:01
patch_we_happy_few_76676_(26968)_to_79954_(28313).exe	We Happy Few	1617830436	624747112	596 Mb	pass	0ad8ac0c9e134b199154d02561d32243	pass	na	2021-11-14 22:12:49	2021-11-14 22:13:45	00:00:56
patch_we_happy_few_86385_(31381)_to_88874_(33788).exe	We Happy Few	1617830436	300726584	287 Mb	pass	f17fedeec8e2d3cbfd585f7e815e6908	pass	na	2021-11-14 22:13:45	2021-11-14 22:14:07	00:00:22
patch_we_happy_few_88874_(33788)_to_88966_(34773).exe	We Happy Few	1617830436	83679328	80 Mb	pass	22a55410921c41310f0c735329c7d942	pass	na	2021-11-14 22:14:07	2021-11-14 22:14:17	00:00:10
we_happy_few_89026_35416.sh	We Happy Few	1617830436	12187759991	11.35 Gb	pass	3e09be81c36c83a46c8102bcf06b930f	pass	na	2021-11-14 22:14:17	2021-11-14 22:25:30	00:11:13
setup_vaporum_patch_14_(64bit)_(27470)-1.bin	Vaporum	1211269088	2053839037	1.91 Gb	pass	aceb1deb6e00ade2e2a4e2a23554fd95	pass	na	2021-11-18 04:02:05	2021-11-18 04:05:43	00:03:38
vaporum_patch_14_27515.sh	Vaporum	1211269088	2057280997	1.92 Gb	pass	2c65dd89fbeec16740e1d57263606ffa	pass	na	2021-11-18 04:25:56	2021-11-18 04:28:11	00:02:15
shadow_tactics_artbook_&_strategy_guide_en.zip	Shadow Tactics: Blades of the Shogun	1601442230	59623422	57 Mb	pass	na	na	pass	2021-11-18 04:28:59	2021-11-18 04:29:18	00:00:19
patch_dagon_by_h._p._lovecraft_Dagon_2021-10-24_(50964)_to_Dagon_2021-10-28_(51058).exe	Dagon: by H. P. Lovecraft	1132748633	9220672	9 Mb	pass	69ef315fd45d4b14cd54ade9aadd2866	pass	na	2021-11-20 12:33:50	2021-11-20 12:34:04	00:00:14
